0000100SMITHERS  JOSE      20020524000050000MARKETING                     M
0000110KHALIL    ERICA     20201010000051000RECURSOS HUMANOS              F
0000130BROWNIE   TAYLOR    20201012000067000VENTAS                        F
0000200FISHER    PEGGY     19910208000065000RRHH                          F
0000300TYSON     MIKE      19970321000080000MARKETING                     M
0000325WILLIAMS  VENUS     20201025000059500MARKETING                     F
0000400JUARES    SERENA    20010404000067500VENTAS                        M
0000431GRANGER   HELENA    20201023000047500ATENCION AL CLIENTE           M
0000500MARCHETTI BRIAN     19980619000056400VENTAS                        M
0000599SIMONETTI BELINDA   20201025000066450MARKETING                     M
0000600ADAMS     VICTORIA  19850715000123000ATENCION AL CLIENTE           F
0000700SIBILA    CARLOS    19841225000104000ATENCION AL CLIENTE           M
0000800SLATTERY  CARLA     20000423000090000RRHH                          F
